"ID","TOKEN","IS_PUNCT"
"1","ΡΗΜΑΤΑ","FALSE"
"2","Ἐκκλησιαστοῦ","FALSE"
"3","υἱοῦ","FALSE"
"4","Δαυεὶδ","FALSE"
"5","βασιλέως","FALSE"
"6","Ἰσραὴλ","FALSE"
"7","ἐν","FALSE"
"8","Ἰερουσαλήμ","FALSE"
"9",".","TRUE"
"10","Ματαιότης","FALSE"
"11","ματαιοτήτων","FALSE"
"12",",","TRUE"
"13","εἶπεν","FALSE"
"14","ὁ","FALSE"
"15","ἐκκλησιαστής","FALSE"
"16",",","TRUE"
"17","ματαιότης","FALSE"
"18","ματαιοτήτων","FALSE"
"19",",","TRUE"
"20","τὰ","FALSE"
"21","πάντα","FALSE"
"22","ματαιότης","FALSE"
"23",".","TRUE"
"24","τίς","FALSE"
"25","περισσεία","FALSE"
"26","τῷ","FALSE"
"27","ἀνθρώπῳ","FALSE"
"28","ἐν","FALSE"
"29","παντὶ","FALSE"
"30","μόχθῳ","FALSE"
"31","αὐτοῦ","FALSE"
"32","ᾧ","FALSE"
"33","μοχθεῖ","FALSE"
"34","ὑπὸ","FALSE"
"35","τὸν","FALSE"
"36","ἥλιον","FALSE"
"37",";","TRUE"
"38","γενεὰ","FALSE"
"39","πορεύεται","FALSE"
"40","καὶ","FALSE"
"41","γενεὰ","FALSE"
"42","ἔρχεται","FALSE"
"43",",","TRUE"
"44","καὶ","FALSE"
"45","ἡ","FALSE"
"46","γῆ","FALSE"
"47","εἰς","FALSE"
"48","τὸν","FALSE"
"49","αἰῶνα","FALSE"
"50","ἕστηκεν","FALSE"
"51",".","TRUE"
"52","καὶ","FALSE"
"53","ἀνατέλλει","FALSE"
"54","ὁ","FALSE"
"55","ἥλιος","FALSE"
"56","καὶ","FALSE"
"57","δύνει","FALSE"
"58","ὁ","FALSE"
"59","ἥλιος","FALSE"
"60","καὶ","FALSE"
"61","εἰς","FALSE"
"62","τὸν","FALSE"
"63","τόπον","FALSE"
"64","αὐτοῦ","FALSE"
"65","ἕλκει","FALSE"
"66","·","TRUE"
"67","αὐτὸς","FALSE"
"68","ἀνατέλλων","FALSE"
"69","ἐκεῖ","FALSE"
"70","πορεύεται","FALSE"
"71","πρὸς","FALSE"
"72","νότον","FALSE"
"73","καὶ","FALSE"
"74","κυκλοῖ","FALSE"
"75","πρὸς","FALSE"
"76","βορρᾶν","FALSE"
"77","·","TRUE"
"78","κυκλοῖ","FALSE"
"79","κυκλῶν","FALSE"
"80",",","TRUE"
"81","πορεύεται","FALSE"
"82","τὸ","FALSE"
"83","πνεῦμα","FALSE"
"84",",","TRUE"
"85","καὶ","FALSE"
"86","ἐπὶ","FALSE"
"87","κύκλους","FALSE"
"88","αὐτοῦ","FALSE"
"89","ἐπιστρέφει","FALSE"
"90","τὸ","FALSE"
"91","πνεῦμα","FALSE"
"92",".","TRUE"
"93","πάντες","FALSE"
"94","οἱ","FALSE"
"95","χείμαρροι","FALSE"
"96","πορεύονται","FALSE"
"97","εἰς","FALSE"
"98","τὴν","FALSE"
"99","θάλασσαν","FALSE"
"100",",","TRUE"
"101","καὶ","FALSE"
"102","ἡ","FALSE"
"103","θάλασσα","FALSE"
"104","οὐκ","FALSE"
"105","ἔσται","FALSE"
"106","ἐμπιμπλαμένη","FALSE"
"107","·","TRUE"
"108","εἰς","FALSE"
"109","τόπον","FALSE"
"110","οἱ","FALSE"
"111","χείμαρροι","FALSE"
"112","πορεύονται","FALSE"
"113",",","TRUE"
"114","ἐκεῖ","FALSE"
"115","αὐτοὶ","FALSE"
"116","ἐπιστρέφουσιν","FALSE"
"117","τοῦ","FALSE"
"118","πορευθῆναι","FALSE"
"119",".","TRUE"
"120","πάντες","FALSE"
"121","οἱ","FALSE"
"122","λόγοι","FALSE"
"123","ἔγκοποι","FALSE"
"124","·","TRUE"
"125","οὐ","FALSE"
"126","δυνήσεται","FALSE"
"127","ἀνὴρ","FALSE"
"128","τοῦ","FALSE"
"129","λαλεῖν","FALSE"
"130",",","TRUE"
"131","καὶ","FALSE"
"132","οὐ","FALSE"
"133","πλησθήσεται","FALSE"
"134","ὀφθαλμὸς","FALSE"
"135","τοῦ","FALSE"
"136","ὁρᾶν","FALSE"
"137",",","TRUE"
"138","καὶ","FALSE"
"139","οὐ","FALSE"
"140","πληρωθήσεται","FALSE"
"141","οὖς","FALSE"
"142","ἀπὸ","FALSE"
"143","ἀκροάσεως","FALSE"
"144",".","TRUE"
"145","τί","FALSE"
"146","τὸ","FALSE"
"147","γεγονός","FALSE"
"148",";","TRUE"
"149","αὐτὸ","FALSE"
"150","τὸ","FALSE"
"151","γενησόμενον","FALSE"
"152","·","TRUE"
"153","καὶ","FALSE"
"154","τί","FALSE"
"155","τὸ","FALSE"
"156","πεποιημένον","FALSE"
"157",";","TRUE"
"158","αὐτὸ","FALSE"
"159","τὸ","FALSE"
"160","ποιηθησόμενον","FALSE"
"161","·","TRUE"
"162","καὶ","FALSE"
"163","οὐκ","FALSE"
"164","ἔστιν","FALSE"
"165","πᾶν","FALSE"
"166","πρόσφατον","FALSE"
"167","ὑπὸ","FALSE"
"168","τὸν","FALSE"
"169","ἥλιον","FALSE"
"170",".","TRUE"
"171","ὃς","FALSE"
"172","λαλήσει","FALSE"
"173","καὶ","FALSE"
"174","ἐρεῖ","FALSE"
"175","Ἴδε","FALSE"
"176","τοῦτο","FALSE"
"177","καινόν","FALSE"
"178","ἐστιν","FALSE"
"179",",","TRUE"
"180","ἤδη","FALSE"
"181","γέγονεν","FALSE"
"182","ἐν","FALSE"
"183","τοῖς","FALSE"
"184","αἰῶσιν","FALSE"
"185","τοῖς","FALSE"
"186","γενομένοις","FALSE"
