"ID","TOKEN","IS_STOP"
"1","ΣΟΣΑΝΝΑ","FALSE"
"2","κατα","FALSE"
"3","του+","FALSE"
"4","ο΄","FALSE"
"5","ΚΑΙ","FALSE"
"6","ἦν","TRUE"
"7","ἀνὴρ","FALSE"
"8","οἰκῶν","FALSE"
"9","ἐν","TRUE"
"10","Βαβυλῶνι","FALSE"
"11",",","FALSE"
"12","καὶ","TRUE"
"13","ὄνομα","FALSE"
"14","αὐτῷ","TRUE"
"15","Ἰωακείμ","FALSE"
"16",".","FALSE"
"17","καὶ","TRUE"
"18","ἔλαβε","FALSE"
"19","γυναῖκα","FALSE"
"20","ᾖ","TRUE"
"21","ὄνομα","FALSE"
"22","Σουσάννα","FALSE"
"23",",","FALSE"
"24","θυγάτηρ","FALSE"
"25","Χελκίου","FALSE"
"26",",","FALSE"
"27","καλὴ","FALSE"
"28","σφόδρα","FALSE"
"29","καὶ","TRUE"
"30","φοβουμένη","FALSE"
"31","τὸν","TRUE"
"32","κύριον","FALSE"
"33","·","FALSE"
"34","καὶ","TRUE"
"35","οἱ","TRUE"
"36","γονεῖς","FALSE"
"37","αὐτῆς","TRUE"
"38","δίκαιοι","FALSE"
"39",",","FALSE"
"40","καὶ","TRUE"
"41","ἐδίδαξαν","FALSE"
"42","τὴν","TRUE"
"43","θυγατέρα","FALSE"
"44","αὐτῶν","TRUE"
"45","κατὰ","TRUE"
"46","τὸν","TRUE"
"47","νόμον","FALSE"
"48","Μωυσῆ","FALSE"
"49",".","FALSE"
"50","καὶ","TRUE"
"51","ἦν","TRUE"
"52","Ἰωακεὶμ","FALSE"
"53","πλούσιος","FALSE"
"54","σφόδρα","FALSE"
"55",",","FALSE"
"56","καὶ","TRUE"
"57","ἦν","TRUE"
"58","αὐτῷ","TRUE"
"59","παράδεισος","FALSE"
"60","γειτνιῶν","FALSE"
"61","τῷ","TRUE"
"62","οἴκῳ","FALSE"
"63","αὐτοῦ","TRUE"
"64","·","FALSE"
"65","καὶ","TRUE"
"66","πρὸς","TRUE"
"67","αὐτὸν","TRUE"
"68","προσήγοντο","FALSE"
"69","οἱ","TRUE"
"70","Ἰουδαῖοι","FALSE"
"71","διὰ","TRUE"
"72","τὸ","TRUE"
"73","εἶναι","TRUE"
"74","αὐτὸν","TRUE"
"75","ἐνδοξότερον","FALSE"
"76","πάντων","FALSE"
"77",".","FALSE"
"78","Καὶ","TRUE"
"79","ἀπεδείχθησαν","FALSE"
"80","δύο","FALSE"
"81","πρεσβύτεροι","FALSE"
"82","ἐκ","TRUE"
"83","τοῦ","TRUE"
"84","λαοῦ","FALSE"
"85","κριταὶ","FALSE"
"86","ἐν","TRUE"
"87","τῷ","TRUE"
"88","ἐνιαυτῷ","FALSE"
"89","ἐκείνῳ","FALSE"
"90",",","FALSE"
"91","περὶ","TRUE"
"92","ὧν","TRUE"
"93","ἐλάλησεν","FALSE"
"94","ὁ","TRUE"
"95","δεσπότης","FALSE"
"96","ὅτι","TRUE"
"97","ἐξῆλθεν","FALSE"
"98","ἀνομία","FALSE"
"99","ἐκ","TRUE"
"100","Βαβυλῶνος","FALSE"
"101","ἐκ","TRUE"
"102","πρεσβυτέρων","FALSE"
"103","κριτῶν","FALSE"
"104","οἱ","TRUE"
"105","ἐδόκουν","FALSE"
"106","κυβερνῶν","FALSE"
"107","τὸν","TRUE"
"108","λαόν","FALSE"
"109",".","FALSE"
"110","καὶ","TRUE"
"111","ἤρχοντο","FALSE"
"112","κρίσεις","FALSE"
"113","ἐξ","TRUE"
"114","ἄλλων","TRUE"
"115","πόλεων","FALSE"
"116","πρὸς","TRUE"
"117","αὐτοὺς","TRUE"
"118",".","FALSE"
"119","οὗτοι","TRUE"
"120","ἰδόντες","FALSE"
"121","γυναῖκα","FALSE"
"122","ἀστείαν","FALSE"
"123","τῷ","TRUE"
"124","εἴδει","FALSE"
"125",",","FALSE"
"126","γυναῖκα","FALSE"
"127","ἀδελφοῦ","FALSE"
"128","αὐτῶν","TRUE"
"129","ἐκ","TRUE"
"130","τῶν","TRUE"
"131","υἱῶν","FALSE"
"132","Ἰσραήλ","FALSE"
"133",",","FALSE"
"134","ὄνομα","FALSE"
"135","Σουσάνναν","FALSE"
"136",",","FALSE"
"137","θυγατέρα","FALSE"
"138","Χελκίου","FALSE"
"139",",","FALSE"
"140","γυναῖκα","FALSE"
"141","Ἰωακείμ","FALSE"
"142",",","FALSE"
"143","περιπατοῦσαν","FALSE"
"144","ἐν","TRUE"
"145","τῷ","TRUE"
"146","παραδείσῳ","FALSE"
"147","τοῦ","TRUE"
"148","ἀνδρὸς","FALSE"
"149","αὐτῆς","TRUE"
"150","τὸ","TRUE"
"151","δειλινὸν","FALSE"
"152","καὶ","TRUE"
"153","ἐπιθυμήσαντες","FALSE"
"154","αὐτῆς","TRUE"
"155",",","FALSE"
"156","διέστρεψαν","FALSE"
"157","τὸν","TRUE"
"158","νοῦν","FALSE"
"159","αὐτῶν","TRUE"
"160","καὶ","TRUE"
"161","ἐξέκλιναν","FALSE"
"162","τοὺς","TRUE"
"163","ὀφθαλμοὺς","FALSE"
"164","αὐτῶν","TRUE"
"165","τοῦ","TRUE"
"166","μὴ","TRUE"
"167","βλέπειν","FALSE"
"168","εἰς","TRUE"
"169","τὸν","TRUE"
"170","οὐρανὸν","FALSE"
"171","μηδέ","FALSE"
"172","μνημονεύειν","FALSE"
"173","κριμάτων","FALSE"
"174","δικαίων","FALSE"
"175",".","FALSE"
"176","καὶ","TRUE"
"177","ἀμφότεροι","FALSE"
"178","ἦσαν","TRUE"
"179","κατανενυγμένοι","FALSE"
"180","περὶ","TRUE"
"181","αὐτῆς","TRUE"
"182",",","FALSE"
"183","καὶ","TRUE"
"184","ἕτερος","FALSE"
"185","τῷ","TRUE"
"186","ἑτέρῳ","FALSE"
"187","οὐ","TRUE"
"188","προσεποιεῖτο","FALSE"
"189","τὸ","TRUE"
"190","κακὸν","FALSE"
"191","τὸ","TRUE"
"192","ἔχον","FALSE"
"193","αὐτοὺς","TRUE"
"194","περὶ","TRUE"
"195","αὐτῆς","TRUE"
"196",",","FALSE"
"197","οὐδέ","TRUE"
"198","ἡ","TRUE"
"199","γυνὴ","FALSE"
"200","ἔγνω","FALSE"
"201","τὸ","TRUE"
"202","πρᾶγμα","FALSE"
"203","τοῦτο","TRUE"
"204",".","FALSE"
"205","καὶ","TRUE"
"206","ὡς","TRUE"
"207","ἐγίνετο","FALSE"
"208","ὄρθρος","FALSE"
"209",",","FALSE"
"210","ἐρχόμενοι","FALSE"
"211","ἔκλεπτον","FALSE"
"212","ἀλλήλους","FALSE"
"213","σπεύδοντες","FALSE"
"214",",","FALSE"
"215","τίς","TRUE"
"216","φανήσεται","FALSE"
"217","αὐτῇ","TRUE"
"218","πρότερος","FALSE"
"219","καὶ","TRUE"
"220","λαλήσει","FALSE"
"221","πρὸς","TRUE"
"222","αὐτήν","TRUE"
"223",".","FALSE"
"224","καὶ","TRUE"
"225","ἰδοὺ","FALSE"
"226","αὕτη","TRUE"
"227","κατὰ","TRUE"
"228","τὸ","TRUE"
"229","εἰωθὸς","FALSE"
"230","περιεπάτει","FALSE"
"231",",","FALSE"
"232","καὶ","TRUE"
"233","ὁ","TRUE"
"234","εἶς","FALSE"
"235","τῶν","TRUE"
"236","πρεσβυτέρων","FALSE"
"237","ἐληλύθει","FALSE"
"238",",","FALSE"
"239","καὶ","TRUE"
"240","ἰδοὺ","FALSE"
"241","ὁ","TRUE"
"242","ἕτερος","FALSE"
"243","παρεγένετο","FALSE"
"244",",","FALSE"
"245","καὶ","TRUE"
"246","εἶς","FALSE"
"247","τὸν","TRUE"
"248","ἕτερον","FALSE"
"249","ἀνέκρινε","FALSE"
"250","λέγων","FALSE"
"251","Τί","TRUE"
"252","σὺ","TRUE"
"253","οὕτως","TRUE"
"254","ὄρθρου","FALSE"
"255","ἐξῆλθες","FALSE"
"256","οὐ","TRUE"
"257","παραλαβὼν","FALSE"
"258","με","TRUE"
"259",";","FALSE"
"260","καὶ","TRUE"
"261","ἐξωμολογήσαντο","FALSE"
"262","πρὸς","TRUE"
"263","ἀλλήλους","FALSE"
"264","ἑκάτερος","FALSE"
"265","τὴν","TRUE"
"266","ὀδύνην","FALSE"
"267","αὐτοῦ","TRUE"
"268",".","FALSE"
"269","καὶ","TRUE"
"270","εἶπεν","FALSE"
"271","εἶς","FALSE"
"272","τῷ","TRUE"
"273","ἑτέρῳ","FALSE"
"274","Πορευθῶμεν","FALSE"
"275","πρὸς","TRUE"
"276","αὐτὴν","TRUE"
"277","·","FALSE"
"278","καὶ","TRUE"
"279","συνθέμενοι","FALSE"
"280","προσήλθοσαν","FALSE"
"281","αὐτῇ","TRUE"
"282","καὶ","TRUE"
"283","ἐξεβιάζοντο","FALSE"
"284","αὐτήν","TRUE"
"285",".","FALSE"
"286","καὶ","TRUE"
"287","εἶπεν","FALSE"
"288","αὐτοῖς","TRUE"
"289","ἡ","TRUE"
"290","Ἰουδαία","FALSE"
"291","Οἶδα","FALSE"
"292","ὅτι","TRUE"
"293","ἐὰν","TRUE"
"294","πράξω","FALSE"
"295","τοῦτο","TRUE"
"296","θάνατός","FALSE"
"297","μοί","TRUE"
"298","ἐστι","TRUE"
"299",",","FALSE"
"300","καὶ","TRUE"
"301","ἐὰν","TRUE"
"302","μὴ","TRUE"
"303","πράξω","FALSE"
"304","οὐκ","TRUE"
"305","ἐκφεύξομ","FALSE"
"306","τὰς","TRUE"
"307","χεῖρας","FALSE"
"308","ὑμῶν","TRUE"
"309","·","FALSE"
"310","κάλλιον","FALSE"
"311","δέ","TRUE"
"312","με","TRUE"
"313","μὴ","TRUE"
"314","πράξασαν","FALSE"
"315","ἐμπεσεῖν","FALSE"
"316","εἰς","TRUE"
"317","τὰς","TRUE"
"318","χεῖρας","FALSE"
"319","ὑμῶν","TRUE"
"320","ἤ","TRUE"
"321","ἁμαρτεῖν","FALSE"
"322","ἐνώπιον","FALSE"
"323","Κυρίου","FALSE"
"324",".","FALSE"
"325","οἱ","TRUE"
"326","δὲ","TRUE"
"327","παράνομοι","FALSE"
"328","ἄνδρες","FALSE"
"329","ἀπέστρεψαν","FALSE"
"330","ἀπειλοῦντες","FALSE"
"331","ἐν","TRUE"
"332","ἑαυτοῖς","TRUE"
"333","καὶ","TRUE"
"334","ἐνεδρεύοντες","FALSE"
"335","ἵνα","FALSE"
"336","θανατώσουσιν","FALSE"
"337","αὐτὴν","TRUE"
"338","·","FALSE"
"339","καὶ","TRUE"
"340","ἐλθόντες","FALSE"
"341","ἐπὶ","TRUE"
"342","τὴν","TRUE"
"343","συναγωγὴν","FALSE"
"344","τῆς","TRUE"
"345","πόλεως","FALSE"
"346","οὖ","FALSE"
"347","παρῴκουσαν","FALSE"
"348",",","FALSE"
"349","καὶ","TRUE"
"350","συνήδρευσαν","FALSE"
"351","οἱ","TRUE"
"352","ὄντες","TRUE"
"353","ἐκεῖ","FALSE"
"354","πάντες","FALSE"
"355","οἱ","TRUE"
"356","υἱοὶ","FALSE"
"357","Ἰσραήλ","FALSE"
"358","·","FALSE"
"359","καὶ","TRUE"
"360","ἀναστάντες","FALSE"
"361","οἱ","TRUE"
"362","δύο","FALSE"
"363","πρεσβύτεροι","FALSE"
"364","καὶ","TRUE"
"365","κριταὶ","FALSE"
"366","εἶπαν","FALSE"
"367","Ἀποστείλατε","FALSE"
"368","ἐπὶ","TRUE"
"369","Σουσάνναν","FALSE"
"370",",","FALSE"
"371","θυγατέρα","FALSE"
"372","Χελκίου","FALSE"
"373",",","FALSE"
"374","ἥτις","TRUE"
"375","ἐστὶ","TRUE"
"376","γυνὴ","FALSE"
"377","Ἰωακείμ","FALSE"
"378",".","FALSE"
"379","οἱ","TRUE"
"380","δὲ","TRUE"
"381","εὐθέως","FALSE"
"382","ἐκάλεσαν","FALSE"
"383","αὐτήν","TRUE"
"384",".","FALSE"
"385","ὡς","TRUE"
"386","δὲ","TRUE"
"387","παρεγενήθη","FALSE"
"388","ἡ","TRUE"
"389","γυνὴ","FALSE"
"390","σὺν","TRUE"
"391","τῷ","TRUE"
"392","πατρὶ","FALSE"
"393","ἑαυτῆς","TRUE"
"394","καὶ","TRUE"
"395","τῇ","TRUE"
"396","μητρί","FALSE"
"397",",","FALSE"
"398","καὶ","TRUE"
"399","οἱ","TRUE"
"400","παῖδες","FALSE"
"401","καὶ","TRUE"
"402","αἱ","TRUE"
"403","παιδίσκαι","FALSE"
"404","αὐτῆς","TRUE"
"405","ὄντες","TRUE"
"406","τὸν","TRUE"
"407","ἀριθμὸν","FALSE"
"408","πεντακόσιοι","FALSE"
"409","παρεγένοντο","FALSE"
"410",",","FALSE"
"411","καὶ","TRUE"
"412","τὰ","TRUE"
"413","παιδία","FALSE"
"414","Σουσάννας","FALSE"
"415","τέσσαρα","FALSE"
"416",".","FALSE"
"417","ἧν","FALSE"
"418","δὲ","TRUE"
"419","ἡ","TRUE"
"420","γυνὴ","FALSE"
"421","τρυφερὰ","FALSE"
"422","σφόδρα","FALSE"
"423",".","FALSE"
"424","καὶ","TRUE"
"425","προσέταξαν","FALSE"
"426","οἱ","TRUE"
"427","παράνομοι","FALSE"
"428","ἀποκαλύψαι","FALSE"
"429","αὐτήν","TRUE"
"430",",","FALSE"
"431","ἵνα","FALSE"
"432","ἐμπλησθῶσιν","FALSE"
"433","κάλλους","FALSE"
"434","ἐπιθυμίας","FALSE"
"435","αὐτῆς","TRUE"
"436",".","FALSE"
"437","καὶ","TRUE"
"438","ἐκλαίοσαν","FALSE"
"439","οἱ","TRUE"
"440","παρʼ","FALSE"
"441","αὐτῆς","TRUE"
"442","πάντες","FALSE"
"443","καὶ","TRUE"
"444","ὅσοι","FALSE"
"445","αὐτὴν","TRUE"
"446","ᾔδεισαν","FALSE"
"447","πάντες","FALSE"
"448",".","FALSE"
"449","ἀναστάντες","FALSE"
"450","δὲ","TRUE"
"451","οἱ","TRUE"
"452","πρεσβύτεροι","FALSE"
"453","καὶ","TRUE"
"454","κριταὶ","FALSE"
"455","ἐπέθηκαν","FALSE"
"456","τὰς","TRUE"
"457","χεῖρας","FALSE"
"458","αὐτῶν","TRUE"
"459","ἐπὶ","TRUE"
"460","τῆς","TRUE"
"461","κεφαλῆς","FALSE"
"462","αὐτῆς","TRUE"
"463","·","FALSE"
"464","ἡ","TRUE"
"465","δὲ","TRUE"
"466","καρδία","FALSE"
"467","αὐτῆς","TRUE"
"468","ἐπεποίθει","FALSE"
"469","ἐπὶ","TRUE"
"470","Κυρίῳ","FALSE"
"471","τῷ","TRUE"
"472","θεῷ","FALSE"
"473","αὐτῆς","TRUE"
"474",",","FALSE"
"475","καὶ","TRUE"
"476","ἀνακύψασα","FALSE"
"477","ἔκλαυσεν","FALSE"
"478","ἐν","TRUE"
"479","αὐτῇ","TRUE"
"480","λέγουσα","FALSE"
"481","Κύριε","FALSE"
"482","ὁ","TRUE"
"483","θεὸς","FALSE"
"484","ὁ","TRUE"
"485","αἰώνιος","FALSE"
"486",",","FALSE"
"487","ὁ","TRUE"
"488","εἰδὼς","FALSE"
"489","τὰ","TRUE"
"490","πάντα","FALSE"
"491","πρὶν","FALSE"
"492","γενέσεως","FALSE"
"493","αὐτῶν","TRUE"
"494",",","FALSE"
"495","σὺ","TRUE"
"496","οἶδας","FALSE"
"497","ὅτι","TRUE"
"498","οὐκ","TRUE"
"499","ἐποίησα","FALSE"
"500","ἃ","TRUE"
"501","πονηρεύονται","FALSE"
"502","οἱ","TRUE"
"503","ἄνομοι","FALSE"
"504","οὗτοι","TRUE"
"505","ἐπʼ","FALSE"
"506","ἐμοί","TRUE"
"507",".","FALSE"
"508","καὶ","TRUE"
"509","εἰσήκουσε","FALSE"
"510","Κύριος","FALSE"
"511","τῆς","TRUE"
"512","δεήσεως","FALSE"
"513","αὐτῆς","TRUE"
"514",".","FALSE"
"515","οἱ","TRUE"
"516","δὲ","TRUE"
"517","δύο","FALSE"
"518","πρεσβύτεροι","FALSE"
"519","εἶπαν","FALSE"
"520","Ἡμεῖς","TRUE"
"521","περιεπατοῦμεν","FALSE"
"522","ἐν","TRUE"
"523","τῷ","TRUE"
"524","παραδείσῳ","FALSE"
"525","τοῦ","TRUE"
"526","ἀνδρὸς","FALSE"
"527","αὐτῆς","TRUE"
"528",",","FALSE"
"529","καὶ","TRUE"
"530","κυκλοῦντες","FALSE"
"531","τὸ","TRUE"
"532","στάδιον","FALSE"
"533","εἵδομεν","FALSE"
"534","ταύτην","TRUE"
"535","ἀναπαυομένην","FALSE"
"536","μετὰ","TRUE"
"537","ἀνδρός","FALSE"
"538",",","FALSE"
"539","καὶ","TRUE"
"540","στάντες","FALSE"
"541","ἐθεωροῦμεν","FALSE"
"542","αὐτοὺς","TRUE"
"543","ὁμιλοῦντας","FALSE"
"544","ἀλλήλοις","FALSE"
"545",",","FALSE"
"546","καὶ","TRUE"
"547","αὐτοὶ","TRUE"
"548","οὐκ","TRUE"
"549","ἤδεισαν","FALSE"
"550","ὅτι","TRUE"
"551","εἱστήκειμεν","FALSE"
"552",".","FALSE"
"553","τότε","FALSE"
"554","συνειπάμεθα","FALSE"
"555","ἀλλήλοις","FALSE"
"556","λέγοντες","FALSE"
"557","Μάθωμεν","FALSE"
"558","τίνες","TRUE"
"559","εἰσὶν","TRUE"
"560","οὗτοι","TRUE"
"561",".","FALSE"
"562","καὶ","TRUE"
"563","προσελθόντες","FALSE"
"564","ἐπέγνωμεν","FALSE"
"565","αὐτὴν","TRUE"
"566","·","FALSE"
"567","ὁ","TRUE"
"568","δὲ","TRUE"
"569","νεανίσκος","FALSE"
"570","ἔφυγε","FALSE"
"571","συγκεκαλυμμένος","FALSE"
"572",".","FALSE"
"573","ταύτης","TRUE"
"574","δὲ","TRUE"
"575","ἐπιλαβόμενοι","FALSE"
"576","ἐπηρωτῶμεν","FALSE"
"577","αὐτήν","TRUE"
"578","Τίς","TRUE"
"579","ὁ","TRUE"
"580","ἄνθρωπος","FALSE"
"581",";","FALSE"
"582","καὶ","TRUE"
"583","οὐκ","TRUE"
"584","ἀπήγγειλεν","FALSE"
"585","ἡμῖν","TRUE"
"586","τίς","TRUE"
